Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
399,The Oilerie,6,6,604,Specialty Food,Amy Jo and Curt Campbell,"Egg Harbor, WI",Egg Harbor, WI,http://www.oilerie.com/,500000,0.35,1428571,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,TRUE,"The Oilerie is a retailer of hand-bottled extra virgin olive oils. At The Oilerie, customers may try samples of any of the premium-quality olive oils in stock. When they've made their selection, the oil is bottled for them on the spot. All of the EVOO sold by The Oilerie is produced in a small town south of Rome, Italy. The stores also carry a selection of aged balsamic vinegar."
400,BeatBox Beverages,6,6,604,Alcoholic Beverages,"Brad Schultz, Aimy Steadman, and Justin Fenchel","Austin, TX",Austin, TX,http://www.beatboxbeverages.com/,200000,0.1,2000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,TRUE,Inexpensive and creatively-flavored box wine.
401,EmergenSee,6,6,604,Home Security Solutions,Phil Reitnour and Jason D. Friedberg,"San Francisco, CA",San Francisco, CA,http://emergensee.com/,250000,0.1,2500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,TRUE,"EmergenSee turns your smartphone or tablet into a personal security system with the push of a button. When activated, the app streams live video, audio, and tracks location and movements using GPS in real time to emergency responders and pre-selected contacts."
402,Singtrix,7,6,609,Electronics,John Devecka and Eric Berkowitz,"New York, NY",New York, NY,http://www.singtrix.com/,1500000,0.05,30000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,"Singtrix is the ultimate karaoke system, featuring technology that adds vocal harmonies and natural voice to make every aspiring singer sound better than ever. Made by the people behind the first Guitar Hero, Singtrix brings professional studio quality music to your living room karaoke party. The Singtrix system works with any music and any audio device."
403,Beardbrand,7,6,609,Personal Care and Cosmetics,Eric Bandholz,"San Francisco, CA",San Francisco, CA,http://www.beardbrand.com/,400000,0.15,2666667,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Beardbrand is a men's grooming products company making beard oil, mustache wax, beard combs, and other items for the bearded lifestyle."
404,TITIN,7,6,609,Fitness Apparel and Accessories,Patrick  Whaley,"Atlanta, GA",Atlanta, GA,http://titintech.com/,500000,0.05,10000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,TITIN is patented form-fitting weighted compression gear using gel weights as inserts.
405,Myself Belts,7,6,609,Baby and Children's Apparel and Accessories,Talia Goldfarb,"St. Louis, MO",St. Louis, MO,http://www.myselfbelts.com,60000,0.1,600000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,"Myself Belts are for little ones who are learning to do things themselves. These belts can be fastened and unfastened with a quick one-handed motion. These velcro-backed belts are great for kids going through potty training and special needs children, and their faux buckles make it look like a regular belt. Myself Belts are adorably styled with airplanes, hearts and trucks, and can even be customized with a name or branded design, as with a school uniform."
406,manPACK,8,6,608,Men's Accessories,Aaron Tweedie,"Linden, VA",Linden, VA,https://man-pack.com/,200000,0.29,689655,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Man-PACK blends style, durability, and function to make utilitarian bags that look cool."
407,Priority One Canine,8,6,608,Professional Services,Wade and Lori Morrell,"Pickerington, OH",Pickerington, OH,http://www.priority1canine.com/,75000,0.15,500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,Priority One Canine provides highly trained house pets that serve as security protection and loyal companions for the family.
408,Bottle Breacher,8,6,608,Novelties,Jen and Eli Crane,"Tucson, AZ",Tucson, AZ,https://www.bottlebreacher.com/,150000,0.1,1500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL+MC,Mark Cuban,Kevin O'Leary,,,,TRUE,"Bottle Breacher takes the same 50-caliber ammunition used to defend our country nad turns them into bottle openers. Crafted by US Active Duty service members and Veterans, Bottle Breacher is an original and memorable gift. Use it for promotional gifts, decorative display, and of course, cracking open a bottle!"
409,The Natural Grip,8,6,608,Fitness Apparel and Accessories,Ashley Drake,"Louisville, KY",Louisville, KY,http://www.thenaturalgrip.com,100000,0.2,500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,"The Natural Grip makes the best-fitting hand grips for protecting your hands during workouts. Unlike the competition, The Natural Grip is not a one-size-fits-all product. These grips were created by fitness enthusiast and active duty officer Ashley Drake. The Natural Grip provides protection from torn hands and blisters without the bulk the alternatives. Snugly fitted to your hand, based on your ring finger size, the Natural Grip hooks over your ring and middle fingers and drapes down the palm of your hands."
410,Heidi Ho,9,6,610,Specialty Food,Heidi K. Lovig,"Portland, OR",Portland, OR,http://www.heidiho.com/,125000,0.2,625000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"Heidi Ho! makes a line of delicious cheezes, and that is not a typo, because this is no ordinary cheese. Chef Heidi's cheezes are purely plant-based, made from organic vegetables, nuts, and seeds. Despite being dairy-free and in many cases also soy-free, Heidi Ho cheezes maintain very cheese-like properties, firm enough to grate and melty like real cheese!"
411,Pipsnacks,9,6,610,Specialty Food,Jeff and Jennifer Martin,"Harlem, NY",Harlem, NY,http://www.pipsnacks.com/,200000,0.1,2000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"Pipcorn is a fun mini popcorn snack. When heated and popped, these popcorn kernel shells shatter into little pieces, making them easier on your stomach and teeth, not to mention delicious. This brother-sister duo from Brooklyn makes Pipcorn in small batches using all-natural ingredients."
412,Squatty Potty,9,6,610,Health and Well-Being,Bobby and Judy Edwards,"St. George, UT",St. George, UT,http://squattypotty.com/,350000,0.05,7000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,"The Squatty Potty is a toilet stool that helps the user mimic a natural squat, allowing for easier and healthier elimination at home. Believe it or not, the relatively modern tradition of sitting upright on a toilet seat has not been an improvement, at least as far as posture is concerned. This position puts more stress on the bowels than a simple squat. The Squatty Potty allows the user to adapt their home toilet into one that can be used in a squatting position, which helps to reduce straining and even prevent hemorroids and bowel herniation. Squatty Potty is also great for kids, as it gives them a leg up and a place to rest their feet when moving up to the grown-ups toilet. When not in use, Squatty Potty tucks neatly and discretely underneath the toilet bowl."
413,Storm Stoppers,9,6,610,Novelties,John D. Smith,"Orlando, FL",Orlando, FL,http://www.plywoodalternative.com/,100000,0.1,1000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Storm Stoppers are DIY storm window protection. Lightweight, safe and simple to install, Storm Stoppers go in without bolts or screws, and they can be cut and installed without the use of power tools. Among its other benefits, Storm Stoppers take just under a minute to re-install per window, and because they don't bolt on, they're also the easiest to remove in case needed to make a safe exit through one of these openings."
414,Earth Log,10,6,612,Home Accessories,Tom Sanetti,"Huntington Beach, CA",Huntington Beach, CA,http://www.earthlog.com/,160000,0.2,800000,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,Nick Woodman,Deal Made,LG,Lori Greiner,,,,,FALSE,"Earthlogs are the environmentally-conscious choice for fire logs. Made from clean waste paper and scrap candle wax, Earthlog repurposes waste into premium-quality fire products. The company's patent-pending manufacturing process also produces zero waste."
415,Magic Cook,10,6,612,Outdoor Recreation,Sharon Yu,"Chino, CA",Chino, CA,http://magiccook.net/,100000,0.33,303030,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,Nick Woodman,Deal Made,DJ,Daymond John,,,,,FALSE,"With Magic Cook, users can make a meal without fire, gas or electricity."
416,Kitchen Safe,10,6,612,Storage and Cleaning Products,David Krippendorf and Ryan Tseng,"San Francisco, CA",San Francisco, CA,http://www.thekitchensafe.com/,100000,0.05,2000000,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,Nick Woodman,Deal Made,LG,Lori Greiner,,,,,TRUE,"The Kitchen Safe is a smart container that helps people form good habits. It's great for food, cellphones, TV remotes, video games, and many other things."
417,Off the Cob,10,6,612,Specialty Food,Cameron Sheldrake,"Ithaca, NY",Ithaca, NY,http://www.offthecobchips.com/,100000,0.15,666667,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,Nick Woodman,No Deal Made,,,,,,,FALSE,"Off the Cob makes premium-quality tortilla chips using fresh sweet corn. Unlike the grain corn typically used in every other tortilla chip, sweet corn is naturally flavorful and hand picked at the height of its ripeness each year. Created by third-generation farmer Cameron Sheldrake, these chips are gluten free, organic, and non-GMO, not to mention tasty! The company's larger mission is to support sustainable corn farming."
418,Zipz,11,6,613,Alcoholic Beverages,Andrew McMurray,"Santa Rosa, CA",Santa Rosa, CA,http://www.zipzwine.com,2500000,0.1,25000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL,Kevin O'Leary,,,,,FALSE,"Single-serve wines in recyclable, high quality plastic stemware that looks and feels like glass."
419,SWAG Essentials,11,6,613,Personal Care and Cosmetics,Lydia Evans,"Houston, TX",Houston, TX,http://www.pure-swag.com,125000,0.2,625000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A three-in-one men's grooming product.
420,Biaggi,11,6,613,Storage and Cleaning Products,Stephen Hersh,"New York, NY",New York, NY,http://www.biaggi.com,500000,0.3,1666667,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"Biaggi luggage is built for premium quality and easy storage. Their unique design and lightweight construction allow Biaggi baggage to flatten for storage, greatly reducing the space required. Biaggi suitcases also feature a 4-wheel spinner system, a padded compartment for laptops, hinge-lock technology, and multi-stop telescoping aluminum handles."
421,Gameday Couture,11,6,613,Men and Women's Apparel,Shawna and Kurt Feddersen,"Tulsa, OK",Tulsa, OK,http://www.gameday-couture.com,500000,0.2,2500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,TRUE,Fashionable and affordably-priced apparel for female sports fans.
422,Hoppy Paws,12,6,614,Holiday Cheer,Trina Barkouras,"Newport Beach, CA",Newport Beach, CA,http://hoppypaws.com,50000,0.1,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,FALSE,"Hoppy Paws is a kit that includes everything needed to create reindeer hoof prints in your home. An easy way to bring more whimsy to your holidays, Hoppy Paws comes with a hoof print stamp, a mixing tray and a super secret powder. Mixed with water, the powder creates crisp white hoof prints that are easy to clean up when the fun is done. Hoppy Paws makes it look like the reindeer have indeed come through, and the company has expanded into kits for other characters, including Santa's Elves, the Easter Bunny, the Tooth Fairy and more. Non-toxic and biodegradable, Hoppy Paws works on most hard surfaces, indoors and out."
423,Mensch on a Bench,12,6,614,Holiday Cheer,Neal Hoffman,"Madeira, OH",Madeira, OH,http://themenschonabench.com,150000,0.1,1500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG+RH,Robert Herjavec,Lori Greiner,,,,FALSE,"An ""elf on a shelf"" analog for Jewish and interfaith families. Moshe the Mensch tells the story of Hanukkah and promotes the values of being a Mensch."
424,Eve Drop,12,6,614,Holiday Cheer,Nathan Shaffer,"Henderson, NV",Henderson, NV,http://evedrop.com,75000,0.2,375000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"A device that allows for quickly toggling Christmas lights from visible to out-of-sight, reducing the time spent hanging them up and taking them down each year."
425,Q-Flex,12,6,614,Health and Well-Being,Andrea and Hong Cao,"San Luis Obispo, CA",San Luis Obispo, CA,http://getqflex.com,20000,0.2,100000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"The Q-Flex is personal acupressure system and self-massage device. Its hook-shaped design allows anyone to reach sore spots on their own and apply pressure to relieve stress and soothe aches. Lightweight, durable, easy to use, and affordable, Q-Flex allows anyone to enjoy an on-demand deep tissue massage with just the right amount of pressure to relax knotted muscles, ease shoulder tension, relieve back pain or soothe tired feet. Made in the USA."
426,SkinnyShirt,13,6,611,Women's Apparel,Julie Kalimian,"New York, NY",New York, NY,http://www.skinnyshirt.com,100000,0.2,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"With SkinnyShirt you can rock a classic preppy look while maintaining a smooth and svelte silhouette. Layering a sweater over a traditional button-down shirt leads to bulk and bunchiness, but SkinnyShirt circumvents the issue with their knit camis, which have a collared neck that simulates a typical button-down shirt. It even has four working collar buttons to really sell the illusion! The collar and upper portion of the shirt is made with a woven cotton blend, while the rest of the shirt is instead made with a knit nylon blend that stays smooth against your skin. SkinnyShirt comes in white and pairs nicely with sweaters of any cut or color, but especially V-necks and crewnecks."
427,Bantam Bagels,13,6,611,Specialty Food,Nick and Elyse Oleksak,"New York, NY",New York, NY,http://www.bantambagels.com,275000,0.11,2500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,"Bantam's mini bagel balls come stuffed with artisan cream cheeses that add ease to mobile munching and are perfect for any snack, meeting or event."
428,Doorman,13,6,611,Consumer Services,Zander Adell,"San Francisco, CA",San Francisco, CA,http://www.doorman.co,25000,0.1,250000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,"Doorman is an on-demand mobile service that provides package delivery (and returns) until midnight, 7 days a week."
429,Coffee Meets Bagel,13,6,611,Online Services,"Arum, Dawoon, and Soo Kang","San Francisco, CA",San Francisco, CA,http://www.coffeemeetsbagel.com,500000,0.05,10000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,TRUE,An online dating service that helps people meet friends of friends through daily matches.
430,Vestpakz,14,6,607,Baby and Child Care,Arthur Grayer and Michael Wooley,"Suwannee, GA",Suwannee, GA,http://www.vestpakz.com,50000,0.1,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,TRUE,Kids' backpacks in the form of vests with pockets all around to distribute the load.
431,Scratch & Grain Baking Co.,14,6,607,Specialty Food,Leah Tutin and Taya Geiger,"Portland, OR",Portland, OR,http://www.scratchandgrain.com,150000,0.2,750000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"Scratch & Grain Baking Co. makes the most wholesome and delicious cookie mixes on the planet. These cookie kits bring together the best elements of baking from scratch and the convenience of using prepackaged mixes. Unlike the typical baking mixes from big brands that you might be used to seeing at the grocery store, each ingredient in Scratch and Grain Co. mixes come individually packaged within the box. You get the wonderful flavor of baked-from-scratch cookies and the satisfaction that the ingredients are fresh and all-natural. Scratch and Grain Co. offers a number of different cookie mixes, including Chocolate Chip, Sugar Cookie, and Oatmeal Raisin. They have also introduced three gluten-free mixes: Chocolate Truffle, Snicker Doodle, and Chewy Peanut Butter."
432,Bottle Bright,14,6,607,Storage and Cleaning Products,Justin Koehneke and Seth Friedman,"Richmond, VA",Richmond, VA,http://www.cleanethics.com,75000,0.15,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,"Bottle Bright is the solution to grimy water vessels everywhere. Rather than struggling with a brush, which doesn't remove germs, or using harsh chemicals that leave their own harmful residues, you could be using Bottle Bright tablets, which freshen your water bottle with a quick soak. These tablets are made with all-natural ingredients and easily rid your water bottle from odors, stains and grime. Bottle Bright also has a social mission. For every bag of Bottle Bright tablets purchased, the company donates an equal amount of tablets to people in developing countries, where the lack of clean water and water containers frequently poses serious risks. who are in need of safe and clean drinking water. The Bottle Bright formula is chlorine-free and certified safe, natural, and sustainable."
433,evREwares,14,6,607,Party Supplies,Ellie Brown and Becca Nelson,"Raleigh, NC",Raleigh, NC,https://www.evrewares.com,100000,0.3,333333,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,TRUE,"Any gathering can be improved with these reusable sticky ties! Not your typical ""Hello my name is"" tag, these stickers' charming look and themed designs offer a much more interesting kind of conversation starter. They are also super durable. You can reposition them and reuse them as you please. They don't even leave any residue after they're gone. You can write on these stickers, or let their looks speak for themselves. The company started out making sticky ties, but have continued adding new shapes and themes to the line-up. Our personal favorite is the bow tie. Try these at your next party and see how they liven up even a plain white tee."
434,TurboPUP,15,6,619,Pet Products,Kristina Guerrero,"Bend, OR",Bend, OR,http://www.turbopup.com,100000,0.2,500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,Others,Others,,,,,FALSE,"A premium, nutritious to-go meal for your dog. The official dog food of the National Association of Search and Rescue."
435,Lumio,15,6,619,Home Accessories,Max Gunawan,"San Francisco, CA",San Francisco, CA,http://www.hellolumio.com,250000,0.08,3125000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,A unique and elegant portable lighting solution.
436,Bello Verde,15,6,619,Men and Women's Apparel,Joe Chay,"Columbus, OH",Columbus, OH,http://www.belloverde.com,360000,0.06,6000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Custom men's clothing for custom lifestyles.
437,Napwell,15,6,619,Health and Well-Being,Neil Joglekar and Justin Lee,"Boston, MA",Boston, MA,http://napwell.com,100000,0.1,1000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,The world's first napping mask.
438,Victoria's Kitchen,16,6,620,Specialty Food,Deborah and David Meniane,"Los Angeles, CA",Los Angeles, CA,http://www.drinkvictoriaskitchen.com,200000,0.2,1000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,TRUE,"Victoria's Kitchen makes delicious, all-natural beverages. Almond Water, the flagship product, was inspired by co-founder David's grandmother Victoria."
439,Tycoon Real Estate,16,6,620,Online Services,Aaron McDaniel,"San Francisco, CA",San Francisco, CA,https://www.tycooninvestors.com,50000,0.05,1000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"An online investment club that helps accredited investors who want to find, invest in and share quality private investment deals."
440,GreenBox,16,6,620,Storage and Cleaning Products,Ned Kensing and Jennifer Wright-Laracy,"New York, NY",New York, NY,http://greenboxny.com,300000,0.1,3000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,Others,Others,,,,,TRUE,"GreenBox is the innovator behind the patented, multi-functional GreenBox pizza box. Made of 100% recycled and recyclable material, the GreenBox breaks into plates and a storage unit for leftovers, completely eliminating the need for serving plates and wasteful storage materials."
441,Phone Soap,16,6,620,Storage and Cleaning Products,Dan Barnes and Wesley LaPorte,"Provo, UT",Provo, UT,https://www.phonesoap.com,300000,0.08,4000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,"If you're like most people, you can hardly function without your smartphone. It goes everywhere you go and you use it repeatedly throughout the day. But unlike most other things that get daily wear and tear, you probably don't wash your phone, so it's been accumulating germs since the day you acquired it. Now thanks to PhoneSoap, there's an easy and highly effective way to zap the microbes off your phone. PhoneSoap is a charger for your smartphone that encloses it in a UV case, which emits light in the UV-C range that kills 99.99% of bacteria. It disinfects your phone it just 5 minutes, but it's also safe to leave it in there all night while it charges too. You'll still be able to hear any notifications through the built-in audio amplifier. One of the advantages of the PhoneSoap charger over other products, such as anti-bacterial wipes for wireless devices, is that it's a one-time investment. You'll be able to use the charger again and again without having to reorder or spend more money. You also won't even need to remember to wipe your phone, since you'll be charging it either way. Although this germicidal phone charger is the company's flagship product, as well as its first, they've also added cleaning pads and a touchscreen polish stick to the lineup."
442,Drain Strain,17,6,616,Storage and Cleaning Products,Naushad Ali,"Springfield, MO",Springfield, MO,http://www.drainstrain.com,110000,0.15,733333,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,Others,Others,,,,,FALSE,"Drain Strain is a revolutionary, never-clog drain stopper."
443,BedJet,17,6,616,Home Accessories,Mark Aramli,"Newport, RI",Newport, RI,http://bedjet.com,250000,0.1,2500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"BedJet is the world's first ultra-rapid cooling, heating and climate control system made just for your bed."
444,Balm Chicky Balm Balm,17,6,616,Personal Care and Cosmetics,Liz Moskow and Abby Schwalb,"Portland, OR",Portland, OR,https://balmchicky.com,75000,0.2,375000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,TRUE,"Balm Chicky Balm Balm is a sassy '70s-themed lip gloss brand that's made for value and practicality. Balm Chicky Balm Balm features a patented ""Friend End"" for those times you have a pal in need of lip balm. And, offering three times the quantity of other lip balm brands, there's plenty to go around. Balm Chicky Balm Balm is also certified organic."
445,Fresh Patch,17,6,616,Pet Products,Andrew Feld,"Davenport, FL",Davenport, FL,https://www.freshpatch.com,150000,0.1,1500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,Others,Others,,,,,FALSE,"A stylish and eco-friendly alternative to pee pads, Fresh Patch delivers real-grass turf for dogs that don't have their own backyards."
446,FunBites,18,6,615,Baby and Child Care,Bobbie Rhoads,"New York, NY",New York, NY,http://funbites.com,75000,0.2,375000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"Funbites is a curved blade cutter that makes it a snap to cut kids' meals into bite-size pieces. With Funbites you can transform boring food into fun and approachable bites. Great for encouraging picky eaters to try new things, Funbites is available in an assortment of geometric shapes. All Funbites cutters work in the same simple way. By fitting the cutter over the food item and pressing down, you can quickly get lots of neatly and evenly cut bites of food ready to go. Funbites is BPA-free, dishwasher-safe, and proudly made in the USA."
447,BevBoy,18,6,615,Novelties,Kevin Waltermire,"Charleston, SC",Charleston, SC,http://beverageboy.com,50000,0.15,333333,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,"The BevBoy is best companion for anyone who likes to relax floating in the water. It's ingeniously devised to hold your drink alongside you without spilling or tipping over. Superior to the accident-prone cupholders that are built into most pool floates, BevBoy floats independently and maintains its balance using a clever weighted balance system."
448,The Lip Bar,18,6,615,Personal Care and Cosmetics,Melissa Butler and Rosco Spears,"New York, NY",New York, NY,https://www.thelipbar.com,125000,0.2,625000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,The Lip Bar is a cosmetic brand that exists to empower women through the use of cosmetics by providing self-expressive and responsibly made products.
449,Himalayan Dog Chew,18,6,615,Pet Products,"Suman, Sujan and Nishes Shrestha","Mukilteo, WA",Mukilteo, WA,http://www.himalayandogchew.com,750000,0.05,15000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,"Innovative, healthy, and high-quality dog treats. Their main product is a dog chew made from yak meat, inspired by a traditional snack from Nepal."
450,Sseko Designs,19,6,622,Men and Women's Shoes,Ben and Liz Bohannon,"Portland, OR",Portland, OR,http://www.ssekodesigns.com,300000,0.1,3000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,TRUE,"Sseko Designs is an ethical fashion brand that sells sandals, shoes, handbags and accessories that are all handcrafted in East Africa."
451,Gold Rush Nugget Bucket,19,6,622,Novelties,Mark Peterson,"Eugene, OR",Eugene, OR,http://www.goldrushnuggetbucket.com,60000,0.15,400000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,The Gold Rush Nugget Bucket makes gold and gem prospecting made easy and fun.
452,Boobypack,19,6,622,Women's Apparel,C.C. Conrad,"San Francisco, CA",San Francisco, CA,http://boobypack.com,80000,0.2,400000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,FALSE,"Boobypack is a sports bra/crop-top with zipper-enclosed, water-resistant pockets on either side. This a fannypack for your rack keeps your valuables safe so you can dance, jog or fist pump with ease."
453,Lumi,19,6,622,Novelties,Jesse Genet,"Los Angeles, CA",Los Angeles, CA,http://lumi.com,250000,0.05,5000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Lumi sells innovative printing kits that make it easy for anyone to make affordable, durable prints using the power of the sun."
454,Scholly,20,6,617,Online Services,Christopher Gray,"Philadelphia, PA",Philadelphia, PA,https://www.myscholly.com,40000,0.15,266667,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,Others,Others,,,,,FALSE,"Scholly is a mobile and web app that gives high school students, current college students, and graduate students a fast and simple way to find scholarships to pay for college."
455,Keen Home,20,6,617,Home Accessories,Nayeem Hussain and Ryan Fant,"New York, NY",New York, NY,http://www.keenhome.io,750000,0.1,7500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,Others,Others,,,,,TRUE,"Keen Home makes smart devices to improve the core functions of the home. The company's first product is the Smart Vent, which senses temperature and duct pressure to make intelligent airflow decisions and efficiently increase the comfort of each room."
456,luminAID,20,6,617,Electronics,Andrea Sreshta and Anna Stork,"Oxford, MI",Oxford, MI,http://luminaid.com,200000,0.1,2000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,Others,Others,,,,,TRUE,LuminAID is a solar-powered inflatable light developed by two architecture students after the 2010 Haiti Earthquake.
